==============================
       BLUEPULSE OLED
==============================
OLED OK!
MAX30102 OK!
IR=1161 | A=0.982g | Movimento=0.018 | PARADO | SEM CONTATO
IR=1159 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=1166 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1157 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=1166 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=1181 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1176 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=1169 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1176 | A=0.982g | Movimento=0.018 | PARADO | SEM CONTATO
IR=1154 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=1170 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1171 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=1162 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1164 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=1149 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=1151 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=1177 | A=0.974g | Movimento=0.026 | PARADO | SEM CONTATO
IR=1167 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=1166 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1188 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=1159 | A=0.949g | Movimento=0.051 | PARADO | SEM CONTATO
IR=1222 | A=0.873g | Movimento=0.127 | EM MOVIMENTO | SEM CONTATO
IR=1191 | A=1.040g | Movimento=0.040 | PARADO | SEM CONTATO
IR=993 | A=0.806g | Movimento=0.194 | EM MOVIMENTO | SEM CONTATO
ERRO na leitura do MPU.
IR=921 | A=0.994g | Movimento=0.006 | PARADO | SEM CONTATO
IR=925 | A=0.992g | Movimento=0.008 | PARADO | SEM CONTATO
IR=926 | A=1.115g | Movimento=0.115 | EM MOVIMENTO | SEM CONTATO
IR=906 | A=1.040g | Movimento=0.040 | PARADO | SEM CONTATO
ERRO na leitura do MPU.
IR=1031 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=940 | A=1.047g | Movimento=0.047 | PARADO | SEM CONTATO
IR=932 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=949 | A=0.989g | Movimento=0.011 | PARADO | SEM CONTATO
IR=952 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=965 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=966 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=968 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=975 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=962 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=981 | A=0.975g | Movimento=0.025 | PARADO | SEM CONTATO
IR=974 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=963 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=968 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=952 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=970 | A=0.975g | Movimento=0.025 | PARADO | SEM CONTATO
IR=965 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=950 | A=0.983g | Movimento=0.017 | PARADO | SEM CONTATO
IR=945 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=942 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=943 | A=0.985g | Movimento=0.015 | PARADO | SEM CONTATO
IR=1441 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=4510 | A=0.975g | Movimento=0.025 | PARADO | SEM CONTATO
IR=22286 | A=0.974g | Movimento=0.026 | PARADO | CONTATO
IR=31685 | A=0.975g | Movimento=0.025 | PARADO | CONTATO
IR=73231 | A=0.996g | Movimento=0.004 | PARADO | CONTATO
IR=79025 | A=0.977g | Movimento=0.023 | PARADO | CONTATO
IR=80761 | A=0.977g | Movimento=0.023 | PARADO | CONTATO
IR=84108 | A=0.982g | Movimento=0.018 | PARADO | CONTATO
IR=84842 | A=0.975g | Movimento=0.025 | PARADO | CONTATO
IR=85480 | A=0.985g | Movimento=0.015 | PARADO | CONTATO
IR=85832 | A=0.978g | Movimento=0.022 | PARADO | CONTATO
IR=85444 | A=0.984g | Movimento=0.016 | PARADO | CONTATO
IR=85534 | A=0.984g | Movimento=0.016 | PARADO | CONTATO
IR=85515 | A=0.983g | Movimento=0.017 | PARADO | CONTATO
IR=85822 | A=0.980g | Movimento=0.020 | PARADO | CONTATO
IR=86406 | A=0.973g | Movimento=0.027 | PARADO | CONTATO
IR=86903 | A=0.986g | Movimento=0.014 | PARADO | CONTATO
IR=86525 | A=0.983g | Movimento=0.017 | PARADO | CONTATO
ERRO na leitura do MPU.
ERRO na leitura do MPU.
ERRO na leitura do MPU.
IR=2080 | A=0.984g | Movimento=0.016 | PARADO | SEM CONTATO
IR=902 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=898 | A=0.973g | Movimento=0.027 | PARADO | SEM CONTATO
IR=910 | A=0.990g | Movimento=0.010 | PARADO | SEM CONTATO
IR=903 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=931 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=3341 | A=0.982g | Movimento=0.018 | PARADO | SEM CONTATO
IR=8288 | A=0.985g | Movimento=0.015 | PARADO | CONTATO
IR=22778 | A=0.974g | Movimento=0.026 | PARADO | CONTATO
IR=70977 | A=0.977g | Movimento=0.023 | PARADO | CONTATO
IR=70843 | A=0.973g | Movimento=0.027 | PARADO | CONTATO
IR=72233 | A=0.991g | Movimento=0.009 | PARADO | CONTATO
IR=73763 | A=0.978g | Movimento=0.022 | PARADO | CONTATO
IR=74660 | A=0.973g | Movimento=0.027 | PARADO | CONTATO
IR=74611 | A=0.970g | Movimento=0.030 | PARADO | CONTATO
IR=74745 | A=0.981g | Movimento=0.019 | PARADO | CONTATO
IR=74973 | A=0.977g | Movimento=0.023 | PARADO | CONTATO
IR=75169 | A=0.971g | Movimento=0.029 | PARADO | CONTATO
IR=75179 | A=0.976g | Movimento=0.024 | PARADO | CONTATO
IR=75338 | A=0.983g | Movimento=0.017 | PARADO | CONTATO
IR=75586 | A=0.978g | Movimento=0.022 | PARADO | CONTATO
IR=75920 | A=0.978g | Movimento=0.022 | PARADO | CONTATO
IR=75594 | A=0.979g | Movimento=0.021 | PARADO | CONTATO
IR=75762 | A=0.985g | Movimento=0.015 | PARADO | CONTATO
IR=75957 | A=0.985g | Movimento=0.015 | PARADO | CONTATO
IR=75800 | A=0.977g | Movimento=0.023 | PARADO | CONTATO
IR=75776 | A=0.978g | Movimento=0.022 | PARADO | CONTATO
IR=76123 | A=0.979g | Movimento=0.021 | PARADO | CONTATO
IR=75818 | A=0.977g | Movimento=0.023 | PARADO | CONTATO
IR=72949 | A=0.994g | Movimento=0.006 | PARADO | CONTATO
IR=18861 | A=0.991g | Movimento=0.009 | PARADO | CONTATO
IR=3126 | A=0.973g | Movimento=0.027 | PARADO | SEM CONTATO
IR=887 | A=0.970g | Movimento=0.030 | PARADO | SEM CONTATO
IR=891 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=890 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=889 | A=0.975g | Movimento=0.025 | PARADO | SEM CONTATO
IR=873 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
ERRO na leitura do MPU.
IR=1144 | A=0.983g | Movimento=0.017 | PARADO | SEM CONTATO
IR=1347 | A=0.993g | Movimento=0.007 | PARADO | SEM CONTATO
IR=1387 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1385 | A=0.980g | Movimento=0.020 | PARADO | SEM CONTATO
IR=1349 | A=0.966g | Movimento=0.034 | PARADO | SEM CONTATO
IR=1247 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=1214 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=1214 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1221 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1220 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1235 | A=0.984g | Movimento=0.016 | PARADO | SEM CONTATO
IR=1228 | A=0.978g | Movimento=0.022 | PARADO | SEM CONTATO
IR=1217 | A=0.981g | Movimento=0.019 | PARADO | SEM CONTATO
IR=1240 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1211 | A=0.974g | Movimento=0.026 | PARADO | SEM CONTATO
IR=1218 | A=0.973g | Movimento=0.027 | PARADO | SEM CONTATO
IR=1216 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1226 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=1207 | A=0.974g | Movimento=0.026 | PARADO | SEM CONTATO
IR=1223 | A=0.975g | Movimento=0.025 | PARADO | SEM CONTATO
IR=1220 | A=0.974g | Movimento=0.026 | PARADO | SEM CONTATO
IR=1219 | A=0.979g | Movimento=0.021 | PARADO | SEM CONTATO
IR=1201 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1213 | A=0.977g | Movimento=0.023 | PARADO | SEM CONTATO
IR=1216 | A=0.982g | Movimento=0.018 | PARADO | SEM CONTATO
IR=1210 | A=0.976g | Movimento=0.024 | PARADO | SEM CONTATO
IR=1216 | A=0.973g | Movimento=0.027 | PARADO | SEM CONTATO
