schema_version,session_code,data_origin,sequence,elapsed_ms,simulated_timestamp_utc,scenario,infrared,contact_detected,movement_index,quality,bpm,spo2,gsr
1,BP-002,simulated,0,0,2026-08-30T12:00:00.000Z,noContact,1460,false,0.02,unavailable,,,
1,BP-002,simulated,1,1000,2026-08-30T12:00:01.000Z,stableContact,8243,true,0.03,good,,,
1,BP-002,simulated,2,2000,2026-08-30T12:00:02.000Z,movement,9127,true,0.14,affected,,,
1,BP-002,simulated,3,3000,2026-08-30T12:00:03.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,4,4000,2026-08-30T12:00:04.000Z,noContact,1394,false,0.02,unavailable,,,
1,BP-002,simulated,5,5000,2026-08-30T12:00:05.000Z,stableContact,8378,true,0.03,good,,,
1,BP-002,simulated,6,6000,2026-08-30T12:00:06.000Z,movement,9061,true,0.14,affected,,,
1,BP-002,simulated,7,7000,2026-08-30T12:00:07.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,8,8000,2026-08-30T12:00:08.000Z,noContact,1328,false,0.02,unavailable,,,
1,BP-002,simulated,9,9000,2026-08-30T12:00:09.000Z,stableContact,8312,true,0.03,good,,,
1,BP-002,simulated,10,10000,2026-08-30T12:00:10.000Z,movement,9196,true,0.14,affected,,,
1,BP-002,simulated,11,11000,2026-08-30T12:00:11.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,12,12000,2026-08-30T12:00:12.000Z,noContact,1463,false,0.02,unavailable,,,
1,BP-002,simulated,13,13000,2026-08-30T12:00:13.000Z,stableContact,8246,true,0.03,good,,,
1,BP-002,simulated,14,14000,2026-08-30T12:00:14.000Z,movement,9130,true,0.14,affected,,,
1,BP-002,simulated,15,15000,2026-08-30T12:00:15.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,16,16000,2026-08-30T12:00:16.000Z,noContact,1397,false,0.02,unavailable,,,
1,BP-002,simulated,17,17000,2026-08-30T12:00:17.000Z,stableContact,8381,true,0.03,good,,,
1,BP-002,simulated,18,18000,2026-08-30T12:00:18.000Z,movement,9064,true,0.14,affected,,,
1,BP-002,simulated,19,19000,2026-08-30T12:00:19.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,20,20000,2026-08-30T12:00:20.000Z,noContact,1331,false,0.02,unavailable,,,
1,BP-002,simulated,21,21000,2026-08-30T12:00:21.000Z,stableContact,8315,true,0.03,good,,,
1,BP-002,simulated,22,22000,2026-08-30T12:00:22.000Z,movement,9199,true,0.14,affected,,,
1,BP-002,simulated,23,23000,2026-08-30T12:00:23.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,24,24000,2026-08-30T12:00:24.000Z,noContact,1466,false,0.02,unavailable,,,
1,BP-002,simulated,25,25000,2026-08-30T12:00:25.000Z,stableContact,8249,true,0.03,good,,,
1,BP-002,simulated,26,26000,2026-08-30T12:00:26.000Z,movement,9133,true,0.14,affected,,,
1,BP-002,simulated,27,27000,2026-08-30T12:00:27.000Z,transientFailure,,false,,unavailable,,,
1,BP-002,simulated,28,28000,2026-08-30T12:00:28.000Z,noContact,1400,false,0.02,unavailable,,,
1,BP-002,simulated,29,29000,2026-08-30T12:00:29.000Z,stableContact,8384,true,0.03,good,,,
