SEQ=2139 | IR=6298 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2140 | IR=6287 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2141 | IR=6310 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2142 | IR=6310 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2143 | IR=6308 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2144 | IR=6295 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2145 | IR=6300 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2146 | IR=6308 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2147 | IR=6298 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2148 | IR=6291 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2149 | IR=6290 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2150 | IR=6309 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2151 | IR=6297 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2152 | IR=6310 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2153 | IR=6303 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2154 | IR=6313 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2155 | IR=6306 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2156 | IR=6287 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2157 | IR=6300 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2158 | IR=6310 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2159 | IR=6302 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2160 | IR=6297 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2161 | IR=6307 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2162 | IR=6306 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2163 | IR=6313 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2164 | IR=6301 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2165 | IR=6307 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2166 | IR=6322 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2167 | IR=6300 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2168 | IR=6283 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2169 | IR=6297 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2170 | IR=6316 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2171 | IR=6298 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2172 | IR=6309 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2173 | IR=6301 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2174 | IR=6307 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2175 | IR=6316 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2176 | IR=6302 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2177 | IR=6309 | MOV=0.022 | MPU=OK | BLE=CONECTADO
